360, 56700
272, 24390
727, 81588
795, 19137
866, 5502
163, 83460
890, 83235
49, 94851
893, 81312
398, 72180
41, 81708
700, 60981
863, 63882
435, 33537
616, 13074
214, 3411
60, 91008
49, 13458
517, 61050
400, 396
510, 59874
476, 79629
832, 39906
383, 73815
45, 72879
234, 8526
218, 18465
480, 5214
693, 60156
193, 16944
324, 22512
309, 98061
448, 53373
634, 80397
32, 93540
369, 35337
469, 29445
31, 1080
924, 15717
396, 59568
946, 12288
916, 28800
911, 87363
272, 51621
208, 39411
958, 68784
822, 86052
686, 47163
404, 91656
808, 32271
74, 64647
161, 28173
637, 84348
981, 51936
911, 29130
112, 70761
156, 18219
470, 70629
994, 71085
703, 62943
563, 93453
551, 81366
92, 70080
697, 73653
174, 441
843, 35568
857, 47355
305, 95091
12, 41439
554, 9309
216, 89382
6, 43098
346, 52680
948, 37845
549, 38001
523, 15591
541, 59103
557, 11520
59, 28386
881, 22611
583, 7467
300, 26373
859, 7128
41, 72723
637, 52422
478, 9735
264, 98196
416, 25947
490, 19314
685, 95400
661, 47280
405, 97941
502, 9732
577, 77184
118, 5535
900, 49389
555, 85491
295, 5289
973, 96825
739, 9669
187, 14028
972, 57654
688, 46377
329, 84033
670, 58302
779, 79539
87, 50553
414, 22209
644, 58641
771, 69297
136, 36882
74, 29784
326, 50601
905, 37428
91, 66867
626, 68193
385, 59526
599, 25407
325, 13821
395, 2538
70, 54852
82, 87636
326, 88554
265, 7488
742, 64158
787, 39915
658, 50253
376, 51567
236, 53733
289, 55806
316, 51678
645, 32700
56, 67212
625, 46464
219, 71208
649, 73512
923, 32415
268, 84957
552, 94488
806, 91632
672, 22854
563, 7302
493, 62577
907, 21261
198, 89154
838, 57951
157, 78165
600, 96180
864, 53625
398, 23883
623, 83397
47, 14550
87, 54372
500, 2985
673, 90651
798, 32931
621, 69531
797, 54231
600, 81549
951, 57345
232, 92757
755, 7596
660, 65709
688, 73755
312, 75234
492, 23547
995, 4329
410, 50124
210, 27435
967, 34320
808, 90126
396, 96564
409, 84030
472, 33084
674, 7359
654, 97068
931, 40377
211, 31296
277, 22782
285, 90828
478, 31839
770, 77541
529, 73647
740, 26847
831, 94863
143, 42858
13, 96774
677, 71547
637, 84414
860, 57351
408, 25884
80, 93027
458, 46083
723, 25203
939, 46947
371, 91548
15, 59787
648, 85863
364, 30249
164, 3309
537, 46629
999, 55308
617, 6939
576, 57165
274, 30393
461, 10131
382, 18876
955, 13179
822, 67275
771, 48285
40, 29937
368, 35433
209, 40443
505, 13011
842, 95349
469, 53448
754, 7557
318, 64593
824, 2664
684, 69768
863, 19908
593, 35637
706, 55482
121, 37455
